created,company,id,__CLASS__,contract_time,title,salary_min,salary_max,redirect_url,salary_is_predicted,location,description,category,adref,longitude,latitude,contract_type
2026-01-29T18:27:41Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Simplyhealth'}",5604864696,Adzuna::API::Response::Job,full_time,Junior Quality Engineer,0.0,30000.0,https://www.adzuna.co.uk/jobs/land/ad/5604864696?se=EGkvsIQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=D63208AE38B74E5FCB02F40474FBB02528DAD359,0,"{'area': ['UK'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'UK'}","We’re not just your average health company; we’re aiming to revolutionise access to healthcare in the UK by offering innovative health and wellbeing solutions that are affordable, accessible, and effective. From preventive care to comprehensive medical support, we aim to empower individuals to take charge of their health, inspiring them to make the most of their wellbeing. Added to that we’re the first health insurer in the UK to be awarded B-Corp status in recognition of our significant achiev…","{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYwNDg2NDY5NiIsInMiOiJFR2t2c0lRSDhSR2V2LXA1TkZFbXZRIn0.kVtIYCwf5MRc4qttbOJZDi4bB6XSDWIh88J3J0GX0Q0,,,
2026-01-01T01:55:15Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': ""Butlin's""}",5561803200,Adzuna::API::Response::Job,,Junior Kitchen Manager,27006.98,27006.98,https://www.adzuna.co.uk/jobs/land/ad/5561803200?se=EGkvsIQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=C19CFBC92F5F647E5299D1F0EA137692ED452251,1,"{'display_name': 'Roman Bank, Skegness', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'East Midlands', 'Lincolnshire', 'Skegness', 'Roman Bank']}","Description About the role We’re looking for a Junior Kitchen Manager to join the Butlin's Restaurants Department based in Skegness. Reporting to the Kitchen Manager, you will support the running of the kitchen and support in leading a large team of amazing chefs. As well a stepping up in the Kitchen Managers absence. You will be passionate about exceptional experience and will monitor this regularly to develop action plans in your venue with a focus on continuous improvement. Have great leader…","{'tag': 'hospitality-catering-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Hospitality & Catering Jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU2MTgwMzIwMCIsInMiOiJFR2t2c0lRSDhSR2V2LXA1TkZFbXZRIn0.QWX856jnZl6xQdgi7AneRXw8JS5n8P9D5TKOGG4jHZg,0.349911,53.178179,
2026-01-01T01:55:15Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': ""Butlin's""}",5561803220,Adzuna::API::Response::Job,,Junior Kitchen Manager,28818.01,28818.01,https://www.adzuna.co.uk/jobs/land/ad/5561803220?se=EGkvsIQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=098EB074607738DE7B598D70E72C41DBB9CFEC87,1,"{'area': ['UK', 'South East England', 'West Sussex', 'Bognor Regis', 'Felpham'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Felpham, Bognor Regis'}","Description About The Role We’re looking for a Junior Kitchen Manager to join the Restaurant & Quick Serve department based in Bognor Regis. Reporting to the Senior Kitchen Manager, you will support the running of the kitchen and support in leading a team of up to 10 team per shift. Making our guests smile is at the heart of our values, and you will ensure this happens consistently by ensuring that guests remain the central focus of all operational decisions. This will include resource planning…","{'label': 'Hospitality & Catering Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'hospitality-catering-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU2MTgwMzIyMCIsInMiOiJFR2t2c0lRSDhSR2V2LXA1TkZFbXZRIn0.6S71jbkS8NfI5z135GTSfY-DY_UrJQG_q5asjTKaStQ,-0.660387,50.787116,
2026-01-01T01:55:15Z,"{'display_name': ""Butlin's"", '__CLASS__': 'Adzuna::API::Response::Company'}",5561803217,Adzuna::API::Response::Job,,Junior Kitchen Manager,29093.69,29093.69,https://www.adzuna.co.uk/jobs/land/ad/5561803217?se=EGkvsIQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=DA56D9644105B75BDDC73BA312C40DB72D25D49F,1,"{'display_name': 'Felpham, Bognor Regis', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'South East England', 'West Sussex', 'Bognor Regis', 'Felpham']}","Description About The Role We’re looking for a Junior Kitchen Manager to join the Butlin's Buffet Department based in Bognor Regis. Reporting to the Senior Kitchen Manager, you will support the running of the kitchen and support in leading a team of up to 40. Making our guests smile is at the heart of our values, and you will ensure this happens consistently by ensuring that guests remain the central focus of all operational decisions. This will include resource planning, recruitment and select…","{'tag': 'hospitality-catering-jobs', 'label': 'Hospitality & Catering Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU2MTgwMzIxNyIsInMiOiJFR2t2c0lRSDhSR2V2LXA1TkZFbXZRIn0.P4c6v9GiDyjw4o4Uqo937yImQ3yvYQifuBx810DRhsQ,-0.660387,50.787116,
2026-01-13T23:20:23Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': ""Butlin's""}",5583134476,Adzuna::API::Response::Job,,Junior Kitchen Manager (maternity cover),30471.0,30471.0,https://www.adzuna.co.uk/jobs/land/ad/5583134476?se=EGkvsIQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=B221EDFAF6F2735039FBEC95044EC1EA5D197626,0,"{'display_name': 'Felpham, Bognor Regis', 'area': ['UK', 'South East England', 'West Sussex', 'Bognor Regis', 'Felpham'], '__CLASS__': 'Adzuna::API::Response::Location'}","Description About The Role We’re looking for a Junior Kitchen Manager to join the Restaurant & Quick Serve department based in Bognor Regis. This is a fixed term maternity cover role for 12 months. Reporting to the Senior Kitchen Manager, you will support the running of the kitchen and support in leading a team of up to 10 team per shift. Making our guests smile is at the heart of our values, and you will ensure this happens consistently by ensuring that guests remain the central focus of all o…","{'tag': 'hospitality-catering-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Hospitality & Catering Jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU4MzEzNDQ3NiIsInMiOiJFR2t2c0lRSDhSR2V2LXA1TkZFbXZRIn0.d00E4wCjdbsiPlh58r8TdniFxjdg_yd88LNh7FSmjG0,-0.660387,50.787116,contract
2026-01-02T16:20:15Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': ""Butlin's""}",5564638628,Adzuna::API::Response::Job,,Buffet Restaurant Junior Kitchen Manager,28759.45,28759.45,https://www.adzuna.co.uk/jobs/land/ad/5564638628?se=EGkvsIQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=1FD0861A4CBB75D4881EB111D2177DB25C6BEB31,1,"{'display_name': 'Roman Bank, Skegness', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'East Midlands', 'Lincolnshire', 'Skegness', 'Roman Bank']}","Description About the role We’re looking for a Junior Kitchen Manager to join the Butlin's Buffets Department based in Skegness. Reporting to the Kitchen Manager, you will support the running of the kitchen and support in leading a large team of amazing chefs. As well a stepping up in the Kitchen Managers absence. You will be passionate about exceptional experience and will monitor this regularly to develop action plans in your venue with a focus on continuous improvement. Have great leadership…","{'tag': 'hospitality-catering-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Hospitality & Catering Jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU2NDYzODYyOCIsInMiOiJFR2t2c0lRSDhSR2V2LXA1TkZFbXZRIn0.QXF0oP1dJu3QmNxyYC1OQ1cpsclSAsn0Q8S-x2K5TSM,0.349911,53.178179,
2025-12-19T23:37:10Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'HAYS'}",5549283453,Adzuna::API::Response::Job,,Junior Legal Cashier,31041.89,31041.89,https://www.adzuna.co.uk/jobs/details/5549283453?utm_medium=api&utm_source=aa88ce77,1,"{'display_name': 'London, UK', 'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location'}","Junior Legal Cashier – Leading London Law Firm | Hybrid | London | Great Progression Your new company I’m working with a prestigious law firm based in London that is looking to hire a junior Legal Cashier to join their dynamic and busy cashiering team. The successful candidate will be reporting directly to the Head Cashier. You’ll play a key role in supporting the day-to-day management of both client and office accounts. This is a fantastic opportunity to join a growing, ambitious firm where yo…","{'tag': 'accounting-finance-jobs', 'label': 'Accounting & Finance Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU0OTI4MzQ1MyIsInMiOiJFR2t2c0lRSDhSR2V2LXA1TkZFbXZRIn0.WzKRgc5tLKJmugHGZOY_LbvD4vEanW2-jUBtDrN2vw0,,,
2026-01-31T17:54:39Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Hays'}",5607507195,Adzuna::API::Response::Job,,Junior Quantity Surveyor,52034.24,52034.24,https://www.adzuna.co.uk/jobs/details/5607507195?utm_medium=api&utm_source=aa88ce77,1,"{'display_name': 'Belfast, Northern Ireland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'Northern Ireland', 'Belfast']}"," Junior Quantity Surveyor – Multidisciplinary Consultancy – Belfast  Your new company HAYS Property & Surveying NI are proudly working in collaboration with a highly respected, established multidisciplinary consultancy in their search for a Junior Quanitity Surveyor to join their Belfast team. This organisation plays a pivotal role in delivering complex building and infrastructure projects across Northern Ireland and beyond, with expertise spanning across most, if not all, the built environment…","{'label': 'Trade & Construction Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'trade-construction-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYwNzUwNzE5NSIsInMiOiJFR2t2c0lRSDhSR2V2LXA1TkZFbXZRIn0.H7Ky1mO1zrcSmAWP0-FB8kr0msBYiQmeZ2ucVvl9bgY,,,
2026-01-02T00:50:06Z,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': ""Butlin's""}",5563985500,Adzuna::API::Response::Job,,Junior Kitchen Manager,26965.32,26965.32,https://www.adzuna.co.uk/jobs/land/ad/5563985500?se=EGkvsIQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=AA558BFE85A848689EFAE023464003753F96FA28,1,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'East Midlands', 'Lincolnshire', 'Skegness', 'Roman Bank'], 'display_name': 'Roman Bank, Skegness'}","Job Description Description \n About the role We’re looking for a Junior Kitchen Manager to join the Butlin's Restaurants Department based in Skegness. Reporting to the Kitchen Manager, you will support the running of the kitchen and support in leading a large team of amazing chefs. As well a stepping up in the Kitchen Managers absence. You will be passionate about exceptional experience and will monitor this regularly to develop action plans in your venue with a focus on continuous improvement…","{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Hospitality & Catering Jobs', 'tag': 'hospitality-catering-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRUdrdnNJUUg4Ukdldi1wNU5GRW12USIsImkiOiI1NTYzOTg1NTAwIn0.I4RtxFuYIdDiv4ZX9zAhoFofs-x4EAzULqObWbBrLKE,0.349911,53.178179,
2026-01-08T17:35:15Z,"{'display_name': 'Forvis Mazars', '__CLASS__': 'Adzuna::API::Response::Company'}",5574025561,Adzuna::API::Response::Job,full_time,Prudential Regulation & Risk Management - Junior Consultant,78178.23,78178.23,https://www.adzuna.co.uk/jobs/land/ad/5574025561?se=EGkvsIQH8RGev-p5NFEmvQ&utm_medium=api&utm_source=aa88ce77&v=7E381C89CF9793260A3DED4672E9EF094D535618,1,"{'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'London, UK'}","Forvis Mazars is a leading global professional services network providing audit & assurance, tax, and advisory services. Forvis Mazars in the UK spans 14 offices across the nation and has over 3,400 professionals, with 190 partners. We have a clear purpose and a shared commitment to shape a better future. You'll join a collaborative and inclusive team where you're supported to grow your skills, explore new opportunities, and contribute from day one. You'll work with a diverse client base, devel…","{'label': 'Accounting & Finance Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'accounting-finance-jobs'}",eyJhbGciOiJIUzI1NiJ9.eyJzIjoiRUdrdnNJUUg4Ukdldi1wNU5GRW12USIsImkiOiI1NTc0MDI1NTYxIn0.i3BkKEuG-Dhg8UaU-oXGOFf54JW4IZ-PylMWLOcS80Y,-0.139134,51.503378,
