id,salary_min,salary_max,redirect_url,description,adref,company,created,title,contract_type,salary_is_predicted,__CLASS__,location,category,contract_time,longitude,latitude
5596746595,104000.0,104260.0,https://www.adzuna.co.uk/jobs/details/5596746595?utm_medium=api&utm_source=aa88ce77,"BA for Data Analysis Location - London - 2-3 days on site per week Period of 6 months £400 inside IR35 - umbrella only Project summary: The Collateral Lending project aims to create a harmonized data store and automated reporting process for collateral data across the lending business in the Investment Bank (ex. Corporate) and Markets. Data systems and processes are fragmented today across business, credit risk and finance. The project will largely leverage existing systems (in-house and 3rd pa…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU5Njc0NjU5NSIsInMiOiJzSnVzcTRRSDhSR0VpOEJ6Q05zSjhnIn0.g5toUqfkr-BGSVxwR8Hewi29yMZ09qwPDXhh9SmacOM,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Experis'}",2026-01-23T02:50:42Z,BA - for Data Analysis,contract,0,Adzuna::API::Response::Job,"{'display_name': 'The City, Central London', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London', 'Central London', 'The City']}","{'tag': 'accounting-finance-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Accounting & Finance Jobs'}",,,
5624515202,32926.0,32926.0,https://www.adzuna.co.uk/jobs/details/5624515202?utm_medium=api&utm_source=aa88ce77,"We are currently recruiting for a Data Analysis ( EO2 grade ) for our client based in Belfast City Centre. The successful candidates will be required to start once the vetting paperwork and ANI completed. Start date: ASAP Rate of pay: £15.83 Duration: 6 months ( review to be extended ) Hours of work : Full time 37 Hours per week Key Responsibilities: * Able to follow instructions, guidance including established practices by EO1. * Able to Identify anomalies / inconsistencies and give attention …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYyNDUxNTIwMiIsInMiOiJzSnVzcTRRSDhSR0VpOEJ6Q05zSjhnIn0.TYg5dHSt7jFZHiJcYCe9MPLww8e-WI3Ngwifu9TkCiI,"{'display_name': 'The Recruitment Co', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-02-11T18:20:03Z,EO2 -Data Analysis,contract,0,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'Northern Ireland', 'Belfast', 'Ormeau'], 'display_name': 'Ormeau, Belfast'}","{'tag': 'admin-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Admin Jobs'}",full_time,-5.922811,54.599701
5616229246,100000.0,100000.0,https://www.adzuna.co.uk/jobs/details/5616229246?utm_medium=api&utm_source=aa88ce77,"Director - Data & Analysis £Up to £130,000 GBP Annual Bonus, Car Allowance, Private Healthcare Hybrid WORKING Location: London, Central London, Greater London - United Kingdom Type: Permanent Director of Data & Analytics Join an award-winning global change and transformation consultancy consistently recognised for excellence in leadership development, innovation, and workplace culture. This organisation is widely regarded as a top-tier place to grow a career in data and analytics, combining str…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0p1c3E0UUg4UkdFaThCekNOc0o4ZyIsImkiOiI1NjE2MjI5MjQ2In0.FBWz9_O0he_nUlGh8f3L-dcMysvJM_nVlgQFtTDaox8,"{'display_name': 'Anson Mccade', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-02-05T21:30:33Z,Director - Data & Analysis,permanent,0,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London'], 'display_name': 'London, UK'}","{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",,,
5591545174,0.0,50000.0,https://www.adzuna.co.uk/jobs/land/ad/5591545174?se=sJusq4QH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=244AA4725219EC958FF9635C369396CC097D7E5A,"Location: Remote (UK) Remote: Yes Job Type: Full Time Salary: Up to £50,000 Data Index Academy is building structured learning paths for people developing practical skills in data analysis and business intelligence. The Curriculum Lead owns the end-to-end curriculum strategy for the Data Analysis and BI track, ensuring learning outcomes align with real UK job requirements and industry practice. Key responsibilities Define curriculum scope, learning outcomes, and progression routes (beginner to …",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU5MTU0NTE3NCIsInMiOiJzSnVzcTRRSDhSR0VpOEJ6Q05zSjhnIn0.tajq6s5Ue1cyZgMfwG_QZEuAdXpWvSguCC5cWt8-CtA,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Data Index'}",2026-01-19T19:25:54Z,Curriculum Lead (Data Analysis and BI) - Fully Remote UK,permanent,0,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London'], 'display_name': 'London, UK'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}",full_time,-0.139134,51.503378
5593535932,34976.88,34976.88,https://www.adzuna.co.uk/jobs/land/ad/5593535932?se=sJusq4QH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=1EB11854254EC22888934D2455D31F09A8359566,"Data Processing & Analysis Officer required for an immediate start with our client, Northern Ireland Fire and Rescue Service Headquarters Lisburn This role will start immediately and will be for a minimum of 6 months. The hours of work are 9am-5pm, Monday-Friday, and the rate of pay is £16.68 per hour The Data Processing & Analysis Officer will be responsible for the day-to-day data extraction, cleansing, methodology development and analysis to provide high quality data and information. Main Du…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU5MzUzNTkzMiIsInMiOiJzSnVzcTRRSDhSR0VpOEJ6Q05zSjhnIn0.vOkTXuxDYXPMYxsRdTHSM5V3sc5mNx_-1Bs8f0bWn8Y,"{'display_name': 'First Choice Selection Services Ltd', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-01-21T03:50:29Z,Data Processing & Analysis Officer Lisburn,,1,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'Northern Ireland', 'Lisburn'], 'display_name': 'Lisburn, Northern Ireland'}","{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",,-6.04273,54.510899
5588829217,29350.0,29350.0,https://www.adzuna.co.uk/jobs/land/ad/5588829217?se=sJusq4QH8RGEi8BzCNsJ8g&utm_medium=api&utm_source=aa88ce77&v=C28B98C5E4FC502AC644A730388EAFFFB8141BDD,"Data Processing & Analysis Officer MCS are seeking a highly motivated, Data Processing & Analysis Officer to join our Corporate Governance & Improvement Directorate based in our Fire Service HQ in Lisburn. In this pivotal role, you will support the delivery of a professional data service that directly informs operational decision-making and community safety outcomes. The Role As part of the Data Processing & Analysis Team, you will be responsible for the day-to-day extraction, cleansing, and an…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU4ODgyOTIxNyIsInMiOiJzSnVzcTRRSDhSR0VpOEJ6Q05zSjhnIn0.HVqmm-wAZengVtkARDHkrhQaQqCdLahdFaYaVKbSqQI,"{'display_name': 'MCS Group', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-01-17T04:19:50Z,Data Processing & Analysis Officer - Temp,contract,0,Adzuna::API::Response::Job,"{'display_name': 'Lisburn, Northern Ireland', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'Northern Ireland', 'Lisburn']}","{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",,-6.04273,54.510899
5540268495,65891.71,65891.71,https://www.adzuna.co.uk/jobs/details/5540268495?utm_medium=api&utm_source=aa88ce77,"Statistical Data Analysis Trainer Location London Business Area Data Ref  10048138 Description & Requirements Bloomberg runs on data. Our products are fueled by powerful information. We combine data and context to paint the whole picture for our clients, around the clock - from around the world. In the Data department, we are responsible for delivering this data, news, and analytics through innovative technology - quickly and accurately. We apply problem-solving skills to identify innovative wo…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0p1c3E0UUg4UkdFaThCekNOc0o4ZyIsImkiOiI1NTQwMjY4NDk1In0.eGF0NX0Gpxka9LmCncchYEKcOJAUUCyoSs2cX_co4TI,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Bloomberg'}",2025-12-12T19:57:51Z,Statistical Data Analysis Trainer,,1,Adzuna::API::Response::Job,"{'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'London, UK'}","{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",,,
5615431566,29588.0,33951.0,https://www.adzuna.co.uk/jobs/details/5615431566?utm_medium=api&utm_source=aa88ce77,"Description Grade UE05: £29,588 - £33,951 per annum, pro rata ISG / Library & University Collections (L&UC) / Library Research Support Part time: 9 hours per week Fixed term: until 31 July 2026 The prospective post holder must be: Current student at the University of Edinburgh; and residing in the UK. Must be a UoE student for the duration of the post and eligible to work [9hrs] p/w alongside studies. If you already have an existing work contract with another department within the University of…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0p1c3E0UUg4UkdFaThCekNOc0o4ZyIsImkiOiI1NjE1NDMxNTY2In0.3U8G41_qCdOixH4fdYsgqnTdFWr-0mle7pdfnrVxd5E,"{'display_name': 'University of Edinburgh', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-02-05T09:12:04Z,Open Research Data Analysis Intern,contract,0,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK'], 'display_name': 'UK'}","{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'scientific-qa-jobs', 'label': 'Scientific & QA Jobs'}",part_time,,
5569317629,38865.44,38865.44,https://www.adzuna.co.uk/jobs/details/5569317629?utm_medium=api&utm_source=aa88ce77,"I am looking for a skilled Data Analyst / Monitoring & Evaluation (M&E) specialist to support the analysis and reporting of survey data collected for an NGO-style project. The scope of work includes cleaning and validating datasets collected through tools such as KoboToolbox, performing statistical analysis, and producing clear, well-structured reports to support evidence-based decision-making. Key responsibilities include: Cleaning and validating raw survey data (Excel / CSV format) Conducting…",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0p1c3E0UUg4UkdFaThCekNOc0o4ZyIsImkiOiI1NTY5MzE3NjI5In0.w6h-lB6-ocX3OCCp_KxAexaabEC2-uf6Jk0XVTAx6vU,{'__CLASS__': 'Adzuna::API::Response::Company'},2026-01-06T01:19:21Z,"Survey Data Analysis, Reporting & Dashboard Development",,1,Adzuna::API::Response::Job,"{'area': ['UK'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'UK'}","{'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs'}",,,
5546900841,54099.67,54099.67,https://www.adzuna.co.uk/jobs/details/5546900841?utm_medium=api&utm_source=aa88ce77,"Who are we? Our mission is to scale intelligence to serve humanity. We’re training and deploying frontier models for developers and enterprises who are building AI systems to power magical experiences like content generation, semantic search, RAG, and agents. We believe that our work is instrumental to the widespread adoption of AI. We obsess over what we build. Each one of us is responsible for contributing to increasing the capabilities of our models and the value they drive for our customers…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU0NjkwMDg0MSIsInMiOiJzSnVzcTRRSDhSR0VpOEJ6Q05zSjhnIn0.ZArKKfusaF1BFjcLWEJ0kwbys28Xyw2kLEShSQeCPgk,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Cohere'}",2025-12-18T10:06:09Z,"Member of Technical Staff, Data Analysis and Evaluation",,1,Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['UK', 'London'], 'display_name': 'London, UK'}","{'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs'}",full_time,,
5527404972,31209.87,31209.87,https://www.adzuna.co.uk/jobs/details/5527404972?utm_medium=api&utm_source=aa88ce77,"About Better Cotton Initiative Better Cotton Initiative is a global not-for-profit organisation supporting the production of more equitable and sustainable cotton at farm level. We exist to catalyse the cotton farming community with partners, governments and others to continuously drive positive impact by setting standards and facilitating the supply and demand of more sustainable cotton from farm to brand. In just 15 years we have aligned more than a fifth of the world’s cotton with our standa…",eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUyNzQwNDk3MiIsInMiOiJzSnVzcTRRSDhSR0VpOEJ6Q05zSjhnIn0.D0PceKv9wRt6O1NldW2YTzAI5g2dJehPLm10aDUe6Oo,"{'display_name': 'Better Cotton', '__CLASS__': 'Adzuna::API::Response::Company'}",2025-12-04T16:12:13Z,Global MEL Senior Data Analysis Officer,,1,Adzuna::API::Response::Job,"{'display_name': 'London, UK', 'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'tag': 'other-general-jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Other/General Jobs'}",full_time,,
5624505643,65805.37,65805.37,https://www.adzuna.co.uk/jobs/details/5624505643?utm_medium=api&utm_source=aa88ce77,"Your new company A media organisation which owns and operates a proprietary technology platform which enables the creation, distribution and monetisation of digital content experiences. They own several leading brands and have offices in New York, London and Tokyo. Your new role They are looking to recruit a Product analyst to join their Owned and Operated team to work on the analysis of advancing subscription, engagement and audience analytics across their digital platforms. This will include …",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0p1c3E0UUg4UkdFaThCekNOc0o4ZyIsImkiOiI1NjI0NTA1NjQzIn0.dS50W36zUUDXpBQLRXIq99pSQNSdWi8d65-0r7VkZoc,"{'display_name': 'Hays Specialist Recruitment', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-02-11T18:10:40Z,Product/Data Analyst - Data Analysis - AB Testing,permanent,1,Adzuna::API::Response::Job,"{'display_name': 'London, UK', 'area': ['UK', 'London'], '__CLASS__': 'Adzuna::API::Response::Location'}","{'label': 'PR, Advertising & Marketing Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'pr-advertising-marketing-jobs'}",full_time,-0.139134,51.503378
5295888285,50230.47,50230.47,https://www.adzuna.co.uk/jobs/details/5295888285?utm_medium=api&utm_source=aa88ce77,"Why join us? Global Analytics Center (GAC): A mature analytics capability, the Global Analytics Center (GAC), is a hub of advanced analytics competency, providing high-end analytics services across global businesses and global functions. Set-up in India in 2004, GAC has matured into a shared Centre of Excellence comprising 2000 professionals with offices in Bangalore, Kolkata, Guangzhou and Krakow. The work done in GAC forms a vital input towards strategic planning by the senior management for …",eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0p1c3E0UUg4UkdFaThCekNOc0o4ZyIsImkiOiI1Mjk1ODg4Mjg1In0.LmNK5ujOhBruggJ_yjy0aVxztr4b97OjK8NC1ZEZgNY,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'hsbc'}",2025-07-10T16:00:47Z,"AVP – Information Management (F24 Data Analysis), GSC’s",contract,1,Adzuna::API::Response::Job,"{'area': ['UK'], '__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'UK'}","{'label': 'Accounting & Finance Jobs', '__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'accounting-finance-jobs'}",full_time,,
